V_{TAS},\alpha,\theta,q
0.15231172462255052,-0.019501532636217605,-0.031920029942739035,-0.03589004464170783
0.17153427955161207,-0.021124267221273915,-0.035498130471839896,-0.035581019873377716
0.19320967282960486,-0.022530374043322796,-0.03901830124433218,-0.0347343228431179
0.2173981191903501,-0.02368803914887293,-0.042426977501868315,-0.0333475681439828
0.24413158221323003,-0.024565130751930023,-0.0456682153361387,-0.03137355371107373
0.2734100244288391,-0.02512532922891508,-0.04867935151114629,-0.02873030903352124
0.30519239345425386,-0.025328435033905094,-0.051389751797799255,-0.02535198521758717
0.339386092695136,-0.025136747440468676,-0.053725691224832645,-0.021252098086023852
0.3758421806949652,-0.024524440683290707,-0.05561994923992359,-0.01654514555991683
0.41436040841037497,-0.023483502762329012,-0.05702019936935163,-0.011401909758540276
0.4547001622309302,-0.022022516796013025,-0.05789102423930826,-0.005978879487126945
0.49658907486429205,-0.020161218534319212,-0.058210427067526584,-0.0003889078858784091
0.5397253729832145,-0.017927275790793375,-0.057966712607027696,0.005264533909761851
0.5837779268979149,-0.015358625219070336,-0.05716042927761721,0.010831821981196027
0.6283912336006138,-0.012508586896803887,-0.055810352422705566,0.016100524500024648
0.6731985669507611,-0.00944793162001683,-0.053958099591306825,0.02083763273801225
0.7178398028513295,-0.006260507651388815,-0.051666767657217276,0.024857906981186274
0.7619773534281672,-0.0030339264250213455,-0.04901346816917157,0.028070647437731907
0.8053058500823658,0.00015040090261795016,-0.046079318202228846,0.03048348957689392
0.8475552021794396,0.0032242250044073393,-0.042940886734773746,0.03217300459325179
0.8884891287950129,0.006134999250790087,-0.039665355657438076,0.03324337480494142
0.927901918455664,0.00884458132524443,-0.03630961991512257,0.03379148942658796
0.9656158012306877,0.011325916407792784,-0.03292204181529103,0.033890110264371866
1.0014801270639586,0.013559848720194908,-0.02954484482738308,0.03359135484286984
1.0353718865503985,0.015533460072502047,-0.02621546431921492,0.03294176248624511
1.06719604747558,0.017239938271042983,-0.022966390947496522,0.03199507204370316
1.0968844686871961,0.018678945946881225,-0.019824249803769664,0.030814152756408236
1.1243933327293265,0.019856462771565015,-0.01680919252931447,0.029463990828160726
1.1496999647513886,0.020783843219256606,-0.013935108815438019,0.02800382469257265
1.1727998980975174,0.02147654314245068,-0.011210391943179654,0.026484436687326637
1.1937044019447622,0.021953070898273634,-0.00863870007710844,0.024950387087549947
1.2124381635641552,0.022234350785098216,-0.006219405497668245,0.023443284211662082
1.2290367879177881,0.022343329685780112,-0.00394780211120871,0.022003073564848392
1.2435440165928138,0.02230456123934825,-0.0018153151429398371,0.0206667878923263
