Ahrs1_Roll,Ahrs1_bRollRate,Ahrs1_bYawRate
-0.05293336052351485,0.023611685777318724,-0.00535827902470184
-0.05063636462738442,0.023295029378707022,-0.004964671430273992
-0.048362860367856024,0.023048094000805704,-0.004487656774504188
-0.046099655954670915,0.022926593636477387,-0.003956569384172801
-0.043832810073827166,0.02292492371581169,-0.003396710533662903
-0.04155356481850517,0.022984546819267468,-0.0028298890214218907
-0.03926179699175938,0.023020822944563774,-0.0022757724526024947
-0.0369658081425979,0.02295742163673347,-0.0017507062474718573
-0.034679320952283335,0.022746000451600832,-0.001266199798478708
-0.03241850904931585,0.022357794146268917,-0.0008301973441615763
-0.03020173035186173,0.0217605256290269,-0.0004499344449915197
-0.028051446466621693,0.020912584998947607,-0.0001328562757339895
-0.02599456897887329,0.01979109860265438,0.00011547743769899422
-0.024058463717779272,0.018428517149710406,0.0002944630778877586
-0.022264820634818754,0.01691030584059207,0.0004108079991218167
-0.02062684847236508,0.015320628343406879,0.0004793024246120416
-0.019152468265241075,0.013684423999309102,0.0005200887709350608
-0.017849991332463767,0.011966556650643584,0.0005517739995826463
-0.016730380825704588,0.010125528168634023,0.0005835491674408044
-0.015804744753322168,0.008159322037558236,0.0006104694894188086
-0.015081049510481804,0.006102245175386597,0.0006142946989166255
-0.014563741865425608,0.003993141271918614,0.0005708457150723322
-0.01425583491540956,0.0018554907639443848,0.00046254853810032284
-0.014160293180002502,-0.00029399101464326166,0.0002901665109168096
-0.014278477385828853,-0.0024220576213896347,7.450125411324773e-05
-0.014606594713608789,-0.004468588076188281,-0.00015590342898021841
-0.015133100627019584,-0.006359322764161294,-0.0003820247124433427
-0.015838488031723157,-0.008021834336028707,-0.0006008030744188762
-0.01669610015981552,-0.009387248781947032,-0.0008153166686757186
-0.01767259294467977,-0.010391955789609659,-0.0010204499318212578
-0.018729281887117723,-0.011000508088176961,-0.0012003852552784978
-0.019826629597932268,-0.011238984622280183,-0.0013412268867855738
-0.020931437983613986,-0.011203486543191277,-0.0014458535195911257
-0.022022842799050344,-0.011027058571418424,-0.0015365984453450533
-0.023093576129164885,-0.010829673138226917,-0.0016449601166311281
-0.024146861849230043,-0.010688793600010403,-0.0018002258248153895
-0.025191934680188405,-0.010639935859097267,-0.00202707581522424
-0.026240256201606218,-0.010687742467490895,-0.002349338833894778
-0.02730252899231948,-0.01081201388698706,-0.0027901448025141936
-0.028386297307919594,-0.010973140723394685,-0.003365249709408251
-0.029494691537359355,-0.011126394051642495,-0.004074753283384266
-0.030626913201236377,-0.011241367072046324,-0.00489873520046254
-0.03178016964220759,-0.011314417651684096,-0.005798414645743764
-0.03295226790793761,-0.011369035836941542,-0.006721730856606975
-0.03414426798151755,-0.011449262850584181,-0.00761142240788711
-0.035362554512634065,-0.011611737956072747,-0.00841402954401516
-0.036619340980083126,-0.011914487682985395,-0.009088195466864669
-0.037931011631096585,-0.012401239058994066,-0.009609939599062823
-0.03931519082014546,-0.013088728905581565,-0.00997305517642091
-0.04078804915325309,-0.013963065923089138,-0.010184909389458981
-0.042362170419210365,-0.01498081455114404,-0.010259635923650678
-0.04404424377948742,-0.016069892914057048,-0.010211432839203994
-0.045832380742891754,-0.017134814589818737,-0.010050535947550296
-0.047714383251913586,-0.018073868349222155,-0.00978317485456188
-0.049668843072732886,-0.018805977484150846,-0.009415017748883604
-0.0516694702742328,-0.019293919913430917,-0.008956125125621729
-0.05369079092828414,-0.019550742782662146,-0.008424835019616553
-0.05571251516105436,-0.01962527260396383,-0.007848780865928362
-0.05772091594659703,-0.019574116265576657,-0.007263289918151381
-0.05970725857439021,-0.01943559700714513,-0.006708337991435529
-0.061664763870666855,-0.019220812872446712,-0.006223874596488152
-0.0635862693686061,-0.01892624288207296,-0.005843194130719271
-0.06546422293314791,-0.018555525217892162,-0.005586049222422273
-0.06729264048999728,-0.018129904993129817,-0.005453849246573455
-0.06906880060993745,-0.017677880905259537,-0.005428437997506911
-0.07079278630827823,-0.017215123128197563,-0.00547588364564481
-0.07246509798184507,-0.016734258795590096,-0.005556730663174859
-0.07408431406331613,-0.016213484493987646,-0.00564104685233614
-0.07564665792759746,-0.015637269346985144,-0.005720707410343087
-0.07714791867814809,-0.015014762693608057,-0.005809903970338765
-0.07858665579356591,-0.014383848799927634,-0.005933519516214751
-0.0799666877872724,-0.013797415561844594,-0.006113409146338254
-0.08129700524998644,-0.013298662970587363,-0.006361951552575632
-0.08258874538763432,-0.012900424964873453,-0.00668278396964143
-0.08385114626147604,-0.012582719706132695,-0.007073420475743807
-0.0850893920354905,-0.012309466067998941,-0.007527344919382974
-0.0863056078087782,-0.012051565796113542,-0.008036246018563913
-0.08750163860365087,-0.011802733653983322,-0.00859225785062759
-0.08868146218488121,-0.011581356281652577,-0.009188854531748473
-0.08985212036337603,-0.011418436859683353,-0.009819451702982231
-0.09102299280821394,-0.011339048618669554,-0.010474035369961748
-0.09220381862628978,-0.011349280261684653,-0.011135369951864562
-0.09340258073618088,-0.011436176309556585,-0.011776765750122872
-0.09462441331567553,-0.011578543618470315,-0.012362570274742057
-0.09587189214411954,-0.011760491239601704,-0.01285196795303513
-0.09714625395944193,-0.011977756641336462,-0.013206650061866533
-0.09844855739517187,-0.012232305394015947,-0.013400811986513179
-0.09977998575915534,-0.012524941032242037,-0.013429303431480818
-0.10114172711335376,-0.012858159675481274,-0.01330986799166773
-0.10253548809868511,-0.01324113977088233,-0.013077693397927645
-0.10396434457118332,-0.013679799277938847,-0.012774027004420279
-0.10543214319617775,-0.014157086961385554,-0.012434508235064532
-0.10694048443516796,-0.01462604482187974,-0.012083339987937536
-0.10848518942592705,-0.015026455098780117,-0.01173473318138609
-0.11005554764750661,-0.015311055069123638,-0.011398030214785445
-0.11163722359271508,-0.015458959843286026,-0.011082551776306007
-0.11321618924766486,-0.015471327771588122,-0.010800501003229932
-0.11478075573107621,-0.015361330251207542,-0.010567073397552211
-0.11632145501959631,-0.015147453329677242,-0.01039738897880274
-0.11783041559974672,-0.014850330140145994,-0.010301984524959219
-0.11930142115290915,-0.014491093530008253,-0.010284414000239144
-0.12073045996132198,-0.01408948211210408,-0.010342889814811611
-0.12211600859878245,-0.01366148737137314,-0.010473582456533029
-0.12345860987833499,-0.013219308225602244,-0.010671904337669045
-0.1247600004559691,-0.01277562208711877,-0.010931723241549068
-0.12602262403759693,-0.01234888270688691,-0.011244968295318491
-0.12725003084173558,-0.011963655795677031,-0.011602087486263447
-0.12844773857593325,-0.01164466945896837,-0.011990957174068955
