time,vane_AoA,Ahrs1_Pitch,Ahrs1_bPitchRate
2652.8999999999996,0.030679324314786226,-0.12549739316498393,0.05283875147117725
2653.0,0.03236274961842246,-0.12050106792765249,0.05156906928225872
2653.1,0.0337334156902658,-0.11563721567039303,0.05010807520247273
2653.2,0.03478116603940695,-0.110922745316943,0.04854312052297841
2653.3,0.03552735353056097,-0.10636371927045167,0.04695045842978181
2653.3999999999996,0.0360101631652723,-0.10195568520816103,0.045403942643759035
2653.5,0.03626859186411214,-0.09768634569389521,0.043977173328924195
2653.6,0.03633398197012019,-0.09353841819760902,0.042736708610558935
2653.7,0.03623007231861419,-0.08949132648726019,0.04172972953536408
2653.8,0.03597622181197256,-0.08552242447827454,0.04097394814812983
2653.8999999999996,0.03558964913699653,-0.0816087152731946,0.04045698802221312
2654.0,0.035087777009633656,-0.07772899924527554,0.04014622263325252
2654.1,0.03449324683248984,-0.07386567761091685,0.04000308931441295
2654.2,0.03383940077879358,-0.07000535904483915,0.039992258175041526
2654.3,0.0331694061491142,-0.06613839658900098,0.04007867285622
2654.3999999999996,0.03252523101078857,-0.062258531208108404,0.040216047870333414
2654.5,0.03193147988704816,-0.05836378265043654,0.04034102102599322
2654.6,0.03138522373347674,-0.05445824983235999,0.040384662410264324
2654.7,0.030860338038592592,-0.05055263153742337,0.04029720634943234
2654.8,0.03032456182029964,-0.046661715865636284,0.04006824704827259
2654.8999999999996,0.029757899356355817,-0.042799870372126965,0.03972660270505104
2655.0,0.02916069093486114,-0.03897741446484398,0.03931981452393987
2655.1,0.028548717256533372,-0.0351996284233234,0.03888813486916862
2655.2,0.027942207077099556,-0.031468093094212675,0.03844941473306555
2655.3,0.027357566825607887,-0.02778298230011169,0.03799934267227218
2655.3999999999996,0.026804581550487743,-0.02414523848188956,0.03751754492954077
2655.5,0.026285525235036068,-0.02055867254158933,0.0369670597766687
2655.6,0.02579415609869915,-0.017032598222630174,0.036283290399967985
2655.7,0.02531636464782883,-0.01358538646480875,0.035361178548351
2655.8,0.024831675893397586,-0.010248261488526209,0.034059828871870305
2655.8999999999996,0.02431231979813602,-0.0070668479197668055,0.0322428488030765
2656.0,0.023721151888401265,-0.004096707189450238,0.029850931192110654
2656.1,0.023014204413525256,-0.0013912462761494538,0.02696868462701444
2656.2,0.022150384485715255,0.0010142336561874672,0.023834266232703533
2656.3,0.021103548693345183,0.00311475542151584,0.020773796579349545
2656.3999999999996,0.01987001025738595,0.004937845644212959,0.01809360342600829
2656.5,0.018468858924282936,0.0065346815095032465,0.015983070094388947
2656.6,0.01693711715087938,0.007964553381431483,0.014468646093975135
2656.7,0.015322224227703688,0.009279657469230512,0.013437230205276887
2656.8,0.013672842214055677,0.01051648274514801,0.012717311531368052
2656.8999999999996,0.012030429335512708,0.011696429848073535,0.012173865516981491
2657.0,0.010425465375994999,0.012833305486768348,0.011762078654480031
2657.1,0.00887847227950125,0.013941733280059687,0.011514410391585567
2657.2,0.007402704450694562,0.015041225152920475,0.011484656690445069
2657.3,0.00600793547127277,0.01615471970461082,0.011695472044963687
2657.3999999999996,0.004705594253193238,0.01730398728205364,0.012117455895138724
2657.5,0.003511018938181321,0.018505048863220578,0.012677264771943678
2657.6,0.002438812875022679,0.019765291219907978,0.013278033765702838
2657.7,0.0014954097659028271,0.021082414268734632,0.013819347966730719
2657.8,0.0006768693391404961,0.02244495628118675,0.014212358365880954
2657.8999999999996,-2.6809303490739047e-05,0.023834262501916066,0.014389791287558592
2658.0,-0.0006273321585490021,0.025227210791456848,0.014311040854960856
2658.1,-0.001138828805538453,0.026598667973214467,0.013962802080713873
2658.2,-0.0015809730325006411,0.02792349718394828,0.013358424976511692
2658.3,-0.001978919783940728,0.02917888433942152,0.012539668874460981
2658.3999999999996,-0.0023590630734348426,0.030347356911630145,0.01157726430249695
2658.5,-0.0027438408164880204,0.03141954745606684,0.010561755059787674
2658.6,-0.0031487115563012006,0.032395287788000826,0.009584138191251779
2658.7,-0.003581845409604339,0.033282404783718036,0.00871609084596143
2658.8,-0.00404503568051547,0.034093845287627815,0.00799928121881244
2658.8999999999996,-0.004534517993950833,0.03484463036920513,0.007446949938234152
2659.0,-0.005041802480240046,0.03555007781638096,0.007056193006965664
2659.1,-0.005554419736425241,0.0362258874586279,0.006825735591113169
2659.2,-0.006056046948166273,0.03688951263804581,0.006770755818099669
2659.3,-0.0065270951945997574,0.03756150074328519,0.006925727804272297
2659.3999999999996,-0.00694720680539872,0.03826568697126208,0.007329731579614874
2659.5,-0.0072989908189773885,0.039027632057694224,0.007997418941382445
2659.6,-0.007571369167319607,0.03987098728603303,0.008891942498570856
2659.7,-0.007761289278932467,0.04081249108984413,0.009920947590197878
2659.8,-0.00787276513496383,0.04185791510186401,0.010961787136448015
2659.8999999999996,-0.007913311926780993,0.04300122291657139,0.01190058296540079
2660.0,-0.00789000549159497,0.04422723265919194,0.01266264014033963
