Ahrs1_Roll,Ahrs1_bRollRate,Ahrs1_bYawRate
-0.0578425231692692,0.00490992322404575,-0.004393130890837604
-0.05732294659744492,0.005232387987813906,-0.005219530703203629
-0.05680169022904472,0.005345741980025418,-0.006052389158100842
-0.05630227794626707,0.005239619980583226,-0.006853562469192522
-0.05584901866081289,0.004889106156138823,-0.007584212026409759
-0.055466233873393195,0.004281530130507478,-0.008200576432242711
-0.055174492952107544,0.0034533263004466862,-0.008654926624445104
-0.05498570920251546,0.0024933601818619947,-0.008906812158966763
-0.05490115070448993,0.0015036653160633749,-0.008937479011354443
-0.05491392047360663,0.0005565737335106803,-0.008755590073700643
-0.055013160741702545,-0.0003136047191875705,-0.00839035633355535
-0.05518624087336309,-0.0010849567872752695,-0.00787801391167575
-0.055417705169073274,-0.001714706367687503,-0.007250847886533211
-0.05568609715697232,-0.002120578167174846,-0.006534196953944057
-0.05596056802576862,-0.0021879162018222666,-0.005750608262113266
-0.05619987328618722,-0.0018095965726259466,-0.004925930002023875
-0.056356641642148944,-0.0009495394372427142,-0.004091577523130248
-0.05638720766787127,0.00031125668852540514,-0.0032817071193046335
-0.05626247837341257,0.0017916279586720392,-0.0025289586330492055
-0.055973424724089824,0.003288254013051303,-0.0018619901833837292
-0.0555284435976426,0.004659746816861646,-0.0013043866971868114
-0.0549454784317313,0.0058575173388409054,-0.0008733129719342426
-0.05424463222132486,0.006891351676252088,-0.0005781454507216105
-0.053445213490878524,0.007771758864851609,-0.0004208414314542217
-0.05256672707632877,0.008483477684830263,-0.0003981793788467212
-0.05163012108739502,0.009006648575815972,-0.0005034605777685753
-0.050656284334443004,0.009353553875474981,-0.0007255187474897784
-0.04966234611091005,0.009578321832359895,-0.0010460152077456403
-0.04865884198609933,0.009750059978921465,-0.0014386994219380402
-0.04764997719390733,0.009916094963913337,-0.0018730643640171912
-0.046636618036906136,0.010084758871414147,-0.0023204479328588967
-0.04561998728193565,0.010231972881448758,-0.00275811067834797
-0.0446044193137746,0.01031584391116056,-0.003168955153289648
-0.04359880439875808,0.010286611605946537,-0.003538333347050388
-0.04261688300932869,0.010093212696385719,-0.003850885540303437
-0.04167633766128421,0.009694656230952167,-0.004089385365352505
-0.040796348202477274,0.009079215573481228,-0.00423628542311003
-0.03999372875753898,0.00828041691409315,-0.004277903529460523
-0.03927906196176606,0.007372858936893734,-0.004209361543391619
-0.0386547283238101,0.00644631638614219,-0.004036893999389471
-0.03811553737815441,0.005576017097238005,-0.0037757338340289135
-0.03765110695354423,0.004807556901887055,-0.0034448690519224227
-0.03724849388087338,0.004160133593344228,-0.003061918108548197
-0.03689400766674781,0.0036375615735659145,-0.0026416002303104756
-0.03657431851389843,0.0032344323756749106,-0.002198774813519579
