V_{TAS} - V_0,\alpha,\theta,q
-2.0186574415058716,0.04103432555096751,0.18969622725090815,0.04874089875484541
-2.1614243725371334,0.041032030247883676,0.19457087393467493,0.048739956465183226
-2.3086457188726848,0.04103446542576003,0.199441984234729,0.048672016444709955
-2.4603024779104974,0.04103608904377262,0.20430349955562935,0.04855072165182032
-2.6163746327921356,0.04103350168842968,0.20915091572917272,0.04839297766732545
-2.7768411132686817,0.04102524112578449,0.21398140719185132,0.048214530285209084
-2.941680141866188,0.041011108097529836,0.218793443363536,0.04802470235381452
-3.1108695854532535,0.040991205720743905,0.22358597085527815,0.04782359935793072
-3.2843869396157506,0.040965126435678914,0.22835754586191126,0.04760404527169137
-3.4622088929027717,0.040931660892798295,0.23310585904089617,0.04735694098827119
-3.644310734971216,0.04088905472683416,0.23782781521655333,0.047076324156168185
-3.83066590218067,0.04083552777115781,0.24251998118753715,0.04676144670564055
-4.0212457692257475,0.04076972737166448,0.24717908252909312,0.04641590131124399
-4.216019628483681,0.04069095008463593,0.25180233265405755,0.046045469138808
-4.414954757011346,0.04059914405559068,0.256387550039828,0.045656218096529075
-4.618016510917902,0.04049478615003499,0.26093312629443205,0.045253437440474144
-4.825168428016425,0.04037872338231003,0.2654379271725221,0.04484131720397338
-5.036372326035659,0.0402520393905954,0.26990119042561483,0.0444231887318751
-5.25158837249222,0.040115993902742425,0.2743224746622862,0.04400231743736807
-5.470775115925058,0.039972076552014756,0.27870171339643607,0.04358317905013245
-5.69388953319681,0.03982217416876341,0.2830393988840228,0.04317261665884033
-5.92088723319091,0.03966875021246477,0.2873368257507353,0.04277962862194071
-6.151722965105569,0.03951482959420649,0.2915961964852124,0.04241270598774265
-6.3863514179628025,0.03936359973624266,0.29582035236677007,0.04207529822108693
-6.624728029076364,0.03921766318503238,0.30001206649397333,0.04176222256573203
-6.866809400721365,0.03907828212556008,0.304173159736272,0.041460115574486985
-7.112553144542188,0.03894504223204414,0.30830389033485683,0.041152140679856106
-7.361917342309806,0.038816102029794915,0.31240290574455126,0.04082380271515884
-7.614859965471908,0.03868882741566591,0.3164676801914723,0.0404664155189673
-7.871338457992998,0.03856046184198888,0.3204951295869184,0.04007729072294397
-8.131309472343435,0.03842860523518461,0.3244821372599123,0.03965814790501737
-8.394728650129748,0.038291491777006824,0.3284259181808711,0.039213764729639625
-8.661550390113934,0.03814818210544072,0.33232430384468237,0.03875174963258032
-8.931727677735875,0.037998748534234086,0.3361760358941245,0.03828269348615602
-9.205212153673301,0.03784438231715228,0.339981024822218,0.03781900944543707
-9.481954559934481,0.03768722734860455,0.343740376373189,0.03737139726322558
-9.761905477102928,0.03752980139055591,0.347455982081026,0.03694408247725166
-10.04501599915538,0.0373741357869855,0.3511297012778572,0.03653205082952543
-10.331237965032232,0.03722103895379641,0.3547624832866754,0.036122833023352986
-10.620523668625586,0.037069870262292415,0.3583538748098697,0.03570192032889328
-10.912825308097666,0.03691887935533372,0.3619021031625743,0.035258161411547
-11.208094496286112,0.03676583520181061,0.365404565856324,0.034786214074341903
-11.506281971001577,0.03660860289897256,0.36885839969167705,0.034285899338018344
-11.807337450553986,0.036445493572797354,0.3722609019491433,0.0337602726365499
-12.111209514668609,0.03627542187975794,0.37560977676678275,0.03321430550169591
-12.417845448619861,0.036098008924099666,0.3789033165972691,0.032654903684269605
-12.727191107400946,0.03591372655982569,0.38214062830528034,0.03209155387824845
-13.039190963496315,0.03572403452719234,0.38532188902833575,0.03153595639872075
-13.353788502960688,0.03553131933314599,0.38844845358489694,0.03099928262062187
-13.670926958886268,0.03533844598001731,0.39152257858219336,0.030487543466338883
-13.99055009393735,0.03514795671428843,0.3945466981265961,0.029997890453598283
-14.3126026229235,0.03496125812299197,0.3975225120240943,0.02951896980626567
-14.637030085680214,0.03477822694227434,0.4004503394018151,0.02903556806771178
-14.96377834621048,0.0345974074016385,0.4033290322608659,0.028534455377469112
-15.29279304501204,0.034416612888443165,0.40615638554978345,0.028008054708692682
-15.624019200952786,0.034233598402852256,0.4089297544891668,0.027455017223633492
-15.957400970280323,0.0340465783958058,0.4116466227470243,0.026878984543349024
-16.2928815062194,0.033854542451079654,0.41430502300205924,0.026287063819760384
-16.630402916876886,0.03365740423595893,0.4169038149053866,0.025688466173909116
-16.969906376304795,0.03345599402305399,0.41944281944998035,0.025092895092771007
-17.31133241139992,0.03325187065184546,0.4219227686431546,0.02450850101270195
-17.65462128110492,0.03304697284144705,0.4243450555533065,0.023940137833248963
-17.999713291808607,0.03284323256423077,0.426711373768873,0.02338907510121395
-18.34654894449952,0.0326423252936288,0.4290234212892029,0.022854516321621988
-18.69506901205978,0.03244562190475195,0.4312827871277697,0.022335245935090287
-19.04521495732035,0.03225406667071427,0.43349083705255154,0.021827001947624814
-19.39693023880654,0.03206724623224966,0.43564790499181855,0.0213104811919329
-19.75016256826957,0.03188079249043728,0.43775077971814896,0.020729922154383795
-20.104866052579247,0.03168197494200831,0.43978794149292655,0.019972044536765664
-20.461001046129955,0.03144481776528515,0.44173341650749653,0.018862691000347452
-20.818529474770433,0.031127462511373404,0.443541815256149,0.017195414216245576
-21.177405018373648,0.03067452797359613,0.44514781029137146,0.014789333349135615
-21.53756029364839,0.0300251912761007,0.4464719102595521,0.01155135521018431
-21.898895143498795,0.02912452865007437,0.44743125175092374,0.0075088890062190074
-22.26126969767719,0.0279335302017412,0.4479512837276876,0.0027939442785549027
-22.624503362035206,0.026433724360450432,0.4479736816754789,-0.0024125009273489127
-22.98837789258217,0.024625246308701453,0.44745798006245197,-0.007943781815869907
-23.35264096831516,0.02252080699212296,0.44637804692107186,-0.013681981483191991
-23.717007618536076,0.020139976813893748,0.44471732344276454,-0.01954850760706981
-24.08115971016096,0.017506988052028476,0.44246661052932984,-0.025467786775375083
-24.444745559592153,0.014652267797417556,0.43962560694651825,-0.031332938947720136
-24.80738142246814,0.011615897449554952,0.4362070315930399,-0.03698941402718837
-25.168655883206974,0.008450833193410246,0.4322413211168147,-0.0422400142325875
-25.52813805551792,0.005223792529342571,0.427779682044929,-0.04687326038705738
-25.885389710025496,0.0020120418768714353,0.4228932555212907,-0.05071098055804002
-26.23997942075336,-0.0011041106378358607,0.41766731053295075,-0.05365548923166959
-26.591495426399895,-0.004050905093938225,0.41219181617882655,-0.05571105960691438
-26.939554700394503,-0.006769322980915826,0.4065516619161252,-0.05696990531821877
-27.283807848093012,-0.009219365874750718,0.40081961629020185,-0.057575050662019955
-27.623941008730093,-0.011380099293060005,0.3950532522862264,-0.05768168418129842
-27.95967616076004,-0.013246864933715437,0.3892951400292493,-0.057431909644365044
-28.290770634186824,-0.014827503750762762,0.383574735225656,-0.05694556455350734
-28.61701599341326,-0.016138880682439627,0.3779105981597202,-0.05632144601428579
-28.938236159016576,-0.017204163455225515,0.3723122833648892,-0.05564155532294177
-29.254284708288687,-0.018050730561198974,0.3667818575520485,-0.05497390603099041
-29.56504152602703,-0.01870844216291831,0.3613152445145412,-0.0543733699035467
-29.87040911240486,-0.019208136147104732,0.3559035273302595,-0.05388195191605232
-30.17030879612997,-0.01958033474904976,0.35053421177032335,-0.05352929733166474
-30.464676969573592,-0.019854138759990567,0.34519244172488056,-0.05333299779514541
-30.75346143645586,-0.020056237517342056,0.3398622136609738,-0.05329832296707052
-31.03661804557168,-0.02021000462856461,0.334527622071612,-0.053418079214708265
-31.31410785192135,-0.020334770116220556,0.3291740559322492,-0.05367397986939571
-31.585895024968462,-0.020445469823421183,0.3237891327450124,-0.0540406505548569
-31.851945549675165,-0.02055286581620251,0.31836310942512996,-0.05449181978618553
-32.11222648967589,-0.020664326301044394,0.312888663873111,-0.05500614028154908
-32.366705482834426,-0.020784894256138907,0.30736022187884554,-0.0555702238209229
-32.615350392068734,-0.020918380561795014,0.30177309652699036,-0.05617991507347551
-32.858129388787866,-0.021068591874389385,0.29612240796541234,-0.05684435490139608
-33.095011663371636,-0.021241173697570316,0.2904013120325769,-0.05759580431391951
-33.32596811201525,-0.02144626002186698,0.28459814764154057,-0.058499536555056415
-33.550970281166734,-0.02170093055004464,0.2786931822620323,-0.059648998985683946
-33.76998593894548,-0.022029279054215124,0.2726571012804832,-0.06113495112894732
-33.98297168352647,-0.0224583094148151,0.26645361127382694,-0.06299783532509519
-34.18986565846262,-0.023010411469008077,0.26004644433888313,-0.0651935759103388
-34.39058409287989,-0.023695982783529235,0.25340789920460166,-0.06759995744594653
-34.58502315901723,-0.024510210870162495,0.24652460512453883,-0.0700627455175182
-34.77306460504639,-0.025435642548496853,0.23939774897381105,-0.07245439151044963
-34.9545821340996,-0.026448997907371066,0.2320381209330565,-0.07471462679367487
-35.129445927419,-0.027528874706441733,0.2244587407476053,-0.07685730488366571
-35.29752408506489,-0.028661113760777873,0.2166684470860473,-0.07894602465404175
-35.458681200211224,-0.029840030472624728,0.2086689195270729,-0.08105285415430233
-35.6127754036248,-0.03106559013551077,0.2004559049587443,-0.08321866766472208
-35.7596557568643,-0.03233822065848272,0.1920236402891498,-0.08543106447723439
-35.89916156382691,-0.03365372770686803,0.18337026422231478,-0.08762685918136597
-36.031124153314586,-0.035000386090936905,0.17450190382226624,-0.08971436470167818
-36.155370605856454,-0.03635903538143434,0.16543404973076706,-0.0916029114265319
-36.27172826360231,-0.03770563424739954,0.1561901829834974,-0.09322628474061363
-36.3800287868848,-0.03901480453077646,0.14679875373805668,-0.09455132304880205
-36.48011104659073,-0.04026275256384637,0.1372901021718279,-0.09557120514768128
-36.57182305543185,-0.041428687692609385,0.12769449712098527,-0.09629184470730713
-36.65502374770609,-0.042495014307991644,0.11804139832739595,-0.09672277776549956
-36.72958517321323,-0.04344728055083462,0.10835914309747094,-0.09687783217056838
-36.79539488519486,-0.044274627401678646,0.09867421371161972,-0.09678146558564678
-36.85235779847405,-0.04497069062270855,0.08900992227628947,-0.09647280642640478
-36.90039696192862,-0.04553436208065088,0.07938500990660899,-0.09600316474618223
-36.939453202857436,-0.045969882157919716,0.06981277274268,-0.09542867898043192
-36.969483966788694,-0.046286162035163544,0.060300986873248745,-0.09480243731970528
-36.990461726216225,-0.046495598551436486,0.050852505477820005,-0.09416922287473253
-37.00237219711007,-0.04661274261520911,0.04146621578846995,-0.09356346503911592
-37.005212460736395,-0.04665307093054605,0.03213808504646015,-0.09300923253590344
-36.998989024839915,-0.04663194144064693,0.022862168754940647,-0.09252077159597165
-36.98371587789853,-0.046563702554868906,0.0136315757562893,-0.09210278154575509
-36.9594126672534,-0.04646092607256451,0.0044394102955950384,-0.09175075216221627
-36.92610321224901,-0.04633383224746376,-0.004720372281729723,-0.09145261436402442
-36.88381455022541,-0.04619008791982482,-0.013852390552431714,-0.09119281651586557
