V_{TAS},\alpha,\theta,q
-0.05054379910243557,0.016153557169537897,0.22276752971363545,0.00023975033302934336
-0.052539102083311286,0.0156580961757055,0.22496404891203495,0.00021740253398271585
-0.054556818647706166,0.015147045934888557,0.22696245557031894,0.00019856333714773181
-0.05659515730857157,0.014636422456723345,0.22879445656953243,0.00018262334582738908
-0.058652512185920415,0.01413459529364937,0.23048082459615518,0.0001679411272657439
-0.06072739036407126,0.013639541913852535,0.2320228460565342,0.00015220372802640165
-0.06281827105898234,0.013139407583538588,0.2333994884800143,0.00013326563131084386
-0.0649234395407011,0.012617764512199018,0.23457445708312835,0.00011030198311473411
-0.06704088063908432,0.012062709755211277,0.23551352961830269,8.464858097970504e-05
-0.06916831794002648,0.011475648591172253,0.2362053479713536,5.957100918506729e-05
-0.07130341307038512,0.010874385409328157,0.23667398107730292,3.8853875541544554e-05
-0.0734440350677473,0.010288310271749684,0.2369754336557733,2.5096590939872995e-05
-0.0755884652542771,0.00974894547391866,0.23718121708400686,1.8901566172661394e-05
-0.07773546135741667,0.009282002359500555,0.23736057718162895,1.937972158393531e-05
-0.07988421030729273,0.008904994488921236,0.2375717395207298,2.533968881696829e-05
-0.08203426147355301,0.008629630496936153,0.23786367379980958,3.6117983703623136e-05
-0.08418551068864977,0.008464819800754657,0.2382814490106419,5.146431882252507e-05
-0.08633823091350784,0.008416515489259271,0.23886661053420372,7.073203540265758e-05
-0.08849308368886782,0.008483960480248676,0.23964947212685805,9.215547458424712e-05
-0.09065104535193226,0.008655164875124214,0.24063755527211975,0.00011283033538136164
-0.09281323578346182,0.008905007657953528,0.24180745040337928,0.0001293849409513167
-0.09498069291067208,0.009197384286974983,0.24310468048887257,0.0001388787690120983
-0.09715415469239322,0.009490552657532462,0.24445146884226066,0.000139495698599338
-0.09933389721822118,0.009743797575098044,0.24575938930794708,0.00013085786957458878
-0.10151965509886227,0.0099235775034311,0.2469431937694037,0.00011396567585886036
-0.10371062876105877,0.010007799228695125,0.24793257576644795,9.084701353685591e-05
-0.10590556444576332,0.009987536412974047,0.2486796743292089,6.404815131033268e-05
-0.10810288066181185,0.00986620921738359,0.24916148037974112,3.61035016378003e-05
-0.1103008114084637,0.00965671579546862,0.24937742988455056,9.075845616942995e-06
-0.11249753703477036,0.009377280548062285,0.24934321281675187,-1.5755199158773268e-05
-0.11469127688669488,0.009047132961044218,0.24908272512374266,-3.7946492087556256e-05
-0.11688033133358433,0.008683374358686866,0.24862100934905723,-5.763646234002137e-05
-0.11906308468440999,0.008299898940781009,0.24798063677307516,-7.512844840370371e-05
-0.1212379974803341,0.0079080343418847,0.24718178702269358,-9.0585843369916e-05
-0.12340361122602107,0.007517645072011992,0.2462439799693287,-0.00010400136783046995
-0.12555856784865385,0.007137564219469618,0.24518696802510362,-0.00011537293042528682
-0.12770162983116673,0.006775077150680669,0.2440296879553275,-0.00012489815053172226
-0.12983168548034812,0.0064349353328330096,0.2427878468261811,-0.00013305077394565535
-0.13194773256391318,0.006118576229735267,0.24147147018953916,-0.00014051747703795482
-0.1340488433016807,0.0058240008453596375,0.24008354160208184,-0.0001480454388792891
-0.13613411960792193,0.005546438826250955,0.2386202881886636,-0.00015626173979787708
-0.1382026497487685,0.005279686678347328,0.23707314139258145,-0.00016551267829064813
-0.1402534775928607,0.005017831609125786,0.23543198261122564,-0.00017576413539634325
-0.142285593435042,0.00475693523899021,0.23368890204329898,-0.0001866001661080173
-0.1442979503822812,0.004496175766348463,0.2318414008360881,-0.00019734194350178543
-0.14628950271169078,0.0042379997752510145,0.22989389826090725,-0.00020727572691734897
-0.1482592539099453,0.003987085948228706,0.22785675230009486,-0.00021592627881678318
-0.15020629566760846,0.0037483880965561065,0.22574287974176588,-0.00022325941678777477
-0.15212981976433534,0.003525063817994607,0.22356328951034557,-0.00022968573834786235
-0.15402909620571187,0.003317371322904713,0.2213237875560405,-0.0002358159807947464
-0.15590343053273398,0.0031232361770211574,0.21902483873365,-0.00024208487355290787
